,0,1,2,3
0,3.0,,,
1,1.0,0.0,386.0,254.0
2,17.0,2.0,1184.0,428.0
3,5.0,1.0,857.0,273.0
4,8.0,4.0,849.0,226.0
5,7.0,5.0,723.0,194.0
6,9.0,2.0,691.0,172.0
7,2.0,2.0,696.0,151.0
8,3.0,1.0,684.0,177.0
9,0.0,1.0,659.0,173.0
10,0.0,1.0,586.0,145.0
11,2.0,2.0,526.0,152.0
12,1.0,3.0,460.0,174.0
13,1.0,3.0,437.0,145.0
14,1.0,1.0,342.0,146.0
15,0.0,1.0,310.0,155.0
16,0.0,1.0,249.0,134.0
17,0.0,4.0,212.0,126.0
18,1.0,1.0,200.0,127.0
19,0.0,3.0,153.0,148.0
20,1.0,2.0,153.0,141.0
21,0.0,4.0,141.0,129.0
22,2.0,0.0,138.0,117.0
23,1.0,0.0,134.0,111.0
24,1.0,0.0,120.0,87.0
25,1.0,0.0,126.0,101.0
26,0.0,1.0,117.0,96.0
27,1.0,1.0,102.0,98.0
28,0.0,0.0,94.0,71.0
29,0.0,1.0,102.0,76.0
30,0.0,0.0,102.0,71.0
31,0.0,0.0,89.0,60.0
32,0.0,0.0,96.0,50.0
33,0.0,0.0,93.0,55.0
34,0.0,0.0,80.0,41.0
35,0.0,0.0,72.0,43.0
36,1.0,1.0,80.0,42.0
37,0.0,0.0,74.0,44.0
38,0.0,0.0,76.0,41.0
39,0.0,0.0,69.0,24.0
40,0.0,0.0,66.0,13.0
41,0.0,0.0,68.0,30.0
42,0.0,1.0,75.0,18.0
43,0.0,0.0,75.0,18.0
44,0.0,0.0,66.0,28.0
45,1.0,0.0,56.0,20.0
46,0.0,0.0,38.0,13.0
47,0.0,0.0,58.0,13.0
48,0.0,0.0,41.0,12.0
49,0.0,0.0,48.0,14.0
50,0.0,1.0,48.0,10.0
51,0.0,0.0,43.0,9.0
52,0.0,0.0,39.0,8.0
53,0.0,0.0,31.0,13.0
54,0.0,0.0,36.0,9.0
55,0.0,0.0,28.0,9.0
56,1.0,0.0,37.0,6.0
57,0.0,0.0,36.0,7.0
58,0.0,0.0,23.0,6.0
59,0.0,0.0,22.0,5.0
60,0.0,0.0,21.0,3.0
